Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Awakening, The","Chopin, Kate",Fiction,Peder Severin Krøyer,Summer Evening at Skagen Beach⁠—The Artist and His Wife,"Whittleton, Robin",2018-07-17,2018-07-17,A woman’s dawning realisation of her situation leads to a struggle for independence.
"Black Opal, The","Prichard, Katharine Susannah",Fiction,Arthur Streeton,Fire’s On,"Grigg, David",2021-03-21,2021-03-21,A tightly-knit community of opal miners in New South Wales is rocked by the departure of one of their most-beloved young people.
"Wind in the Willows, The","Grahame, Kenneth",Fiction,Paul Bransom,It Was the Water Rat,"Cabal, Alex",2015-10-30,2015-10-30,Four animals adventure through the bucolic English countryside.
"Forerunner, The","Gibran, Khalil",Shorts,John Sargent,A Bedouin Arab,"Siddiqui, Sami",2018-04-17,2018-04-17,The second collection of poetry and short stories by Lebanese author Khalil Gibran.
"Madman, The","Gibran, Khalil",Shorts,James Tissot,The Prophet Zechariah,"Siddiqui, Sami",2018-04-02,2018-04-02,The first collection of poetry and short stories by Lebanese author Khalil Gibran.
"Prophet, The","Gibran, Khalil",Shorts,Unknown,The Arab Sage,"Sen, Srijoni",2019-07-17,2019-07-17,"A collection of prose poetry on themes such as love, beauty, and religion."
Growth of the Soil,"Hamsun, Knut",Fiction,Wouter Johannes van Troostwijk,Farm Building in Gelderland,"Cabal, Alex",2021-11-19,2021-11-19,A man builds a farm and a family as society changes around him.
"Marvelous Land of Oz, The","Baum, L. Frank",Fiction,Paul Gauguin,A Farm in Brittany,"Aires, Maxwell",2020-06-23,2020-06-23,A boy named Tip embarks on adventures in the magical land of Oz after he runs away from a witch.
"Wonderful Wizard of Oz, The","Baum, L. Frank",Fiction,Joseph Anton Koch,Heroic Landscape with Rainbow,"Atkinson, Michael",2018-12-12,2018-12-12,"The adventures of a young farm girl named Dorothy in the magical Land of Oz, after she and her pet dog Toto are swept away from their Kansas home by a cyclone."
Anne of Green Gables,"Montgomery, L. M.",Fiction,Jacob Maris,A Girl with Flowers on the Grass,"Meunier, Devon",2019-10-31,2019-10-31,A coming-of-age story of a young girl growing up on a farm on Prince Edward Island.
Tao Te Ching,Laozi,Spirituality,Leng Mei,The Spring Evening Banquet at the Peach and Pear Blossom Garden,"Cabal, Alex",2014-05-25,2014-05-25,One of the fundamental texts of the Tao philosophy and religion.
"Life and Opinions of Tristram Shandy, Gentleman, The","Sterne, Laurence",Fiction,Charles Robert Leslie,Uncle Toby and Widow Wadman,"Whittleton, Robin",2020-03-01,2020-03-01,A man describes his birth and upbringing through the adventures of his family.
"Confession, A","Tolstoy, Leo",Spirituality,Ilya Repin,Leo Tolstoy Barefoot,"Cabal, Alex",2015-11-26,2015-11-26,"A brief meditation on depression, philosophy, religion, and the meaning of life."
Anna Karenina,"Tolstoy, Leo",Fiction,John Singer Sargent,Elizabeth Winthrop Chanler (Mrs. John Jay Chapman),"Whittleton, Robin",2020-05-21,2020-05-21,"A socialite starts an affair with a cavalry officer, against a backdrop of wealthy family life in Imperialist Russia."
Hadji Murád,"Tolstoy, Leo",Fiction,Jan Ciągliński,A Caucasian,"Cabal, Alex",2020-10-08,2020-10-08,The legendary warrior Hadji Murád struggles to free his family against the backdrop of Russian imperialism in Chechnya and Dagestan.
Resurrection,"Tolstoy, Leo",Fiction,Ilya Repin,"Portrait of Efim Repin, the Artist’s Father","Cheng, Weijia",2021-09-06,2021-09-06,A Russian landlord makes reparations to the woman he wronged in his youth.
Short Fiction,"Tolstoy, Leo",Shorts,Ilya Repin,Religious Procession in Kursk Governorate,"Cheng, Weijia",2021-04-27,2021-04-27,A collection of all of the short stories and novellas written by Leo Tolstoy.
"Kingdom of God Is Within You, The","Tolstoy, Leo",Spirituality,Thomas Cole,The Voyage of Life: Youth,"Gross, David M.",2016-12-02,2016-12-02,"Tolstoy describes true Christianity as a non-hierarchical, nonviolent, non-coercive pursuit, and criticizes institutional Christianity as a deceptive corruption."
War and Peace,"Tolstoy, Leo",Fiction,Ernest Meissonier,"1807, Friedland","Rice, Vince",2020-07-28,2020-07-28,The story of five families in Russia during the Napoleonic Wars.
He Who Gets Slapped,"Andreyev, Leonid",Drama,James Ensor,Christ’s Entry Into Brussels in 1889,"Whittleton, Robin",2020-10-04,2020-10-04,A mysterious gentleman joins a circus troupe as a clown.
Satan’s Diary,"Andreyev, Leonid",Fiction,Mikhail Vrubel,The Fallen Demon,"Whittleton, Robin",2020-07-30,2020-07-30,Satan’s visit to Earth in the form of an American billionaire forces him to reevaluate mankind.
Short Fiction,"Andreyev, Leonid",Shorts,Edvard Munch,Death in the Sickroom,"Whittleton, Robin",2019-10-21,2019-10-21,"A collection of Leonid Andreyev’s translated short stories, ordered by date of publication."
Ben Hur,"Wallace, Lew",Fiction,Alexander von Wagner,The Chariot Race,"Rice, Vince",2021-03-19,2021-03-19,"A young Jewish man’s family is falsely imprisoned and he is sent to the galleys; when he is released, he swears revenge on the Romans."
"Tangled Tale, A","Carroll, Lewis",Fiction,Johan Zoffany,The Tribuna of the Uffizi,"Whittleton, Robin",2020-06-24,2020-06-24,Ten mathematical puzzles presented as comedic short stories.
Alice’s Adventures in Wonderland,"Carroll, Lewis",Fiction,Ivan Ivanovich Shishkin,Amanita,"Cabal, Alex",2014-05-25,2014-05-25,"A young girl follows a white rabbit into a strange land of poetry, humor, and whimsy."
Through the Looking-Glass,"Carroll, Lewis",Fantasy,Charles Martin Hardie,The Studio Mirror,"Williams, Kenneth",2017-10-31,2017-10-31,"In a follow-up to her adventures in Wonderland, Alice finds herself in a mirror image of the whimsical land where she becomes a queen in her own right."
Incidents in the Life of a Slave Girl,"Brent, Linda",Nonfiction,Winslow Homer,A Visit from the Old Mistress,"Rice, Vince",2021-03-26,2021-03-26,"The autobiography of a woman who grew up in, and escaped from, slavery."
"Book of Wonder, The",Dunsany,Shorts,Style of Goya,A City on a Rock,"Cabal, Alex",2014-05-25,2014-05-25,A collection of fantastical short stories.
"Gods of Pegāna, The",Dunsany,Fantasy,Joseph Stella,"Battle of Lights, Coney Island","Cabal, Alex",2015-11-02,2015-11-02,A mysterious god creates a cosmic pantheon to rule over its worlds and time.
"King of Elfland’s Daughter, The","Dunsany, Lord",Fantasy,August Heinrich,At the Edge of the Forest,"Schneider, Richard",2021-10-03,2021-10-03,"The people of Erl want magic, and get their wish."
Little Women,"Alcott, Louisa May",Fiction,Jessie Willcox Smith,They All Drew to the Fire,"Cabal, Alex",2016-05-06,2016-05-06,The story of how four young sisters grow to adulthood.
Tractatus Logico-Philosophicus,"Wittgenstein, Ludwig",Philosophy,Francis Picabia,Physical Culture,"Cabal, Alex",2019-02-01,2019-02-01,"One of the most important texts of 20th century philosophy, in which the nature of the philosphy, language, understanding, and logical atomism are explored."
Six Characters in Search of an Author,"Pirandello, Luigi",Drama,Georges Seurat,Parade de cirque,"Keith, B. Timothy",2019-02-11,2019-02-11,"An absurdist comedy that contrasts illusion with reality, in which six characters arrive on a rehearsal stage filled with actors and demand the chance to speak their lines and act out the story of their lives."
Eminent Victorians,"Strachey, Lytton",Nonfiction,George Frederic Watts,Henry Edward Manning,"Cabal, Alex",2018-09-11,2018-09-11,Four witty and biting biographies of Victorians that take aim at the moral superiority of their subject’s time.
Queen Victoria,"Strachey, Lytton",Nonfiction,George Hayter,Queen Victoria,"Grigg, David",2020-08-25,2020-08-25,"A sardonic and generally unflattering biography of Victoria Alexandrina, Queen of England."
Lady Audley’s Secret,"Braddon, M. E.",Mystery,Berthe Morisot,Woman at Her Toilette,"Grigg, David",2019-12-05,2019-12-05,"When his friend disappears suddenly in mysterious circumstances, a young, idle barrister feels forced to investigate, even at the peril of destroying the happiness of his beloved uncle."
Short Fiction,"James, Montague Rhodes",Shorts,Georges de La Tour,The Penitent Magdalen,"Bennett, Mike",2021-02-23,2021-02-23,A collection of ghost stories written by M. R. James.
Short Fiction,"Reynolds, Mack",Shorts,Roger de la Fresnaye,Artillery,"Keith, B. Timothy",2019-07-17,2019-07-17,A collection of science fiction short stories by Mack Reynolds ordered by date of publication.
,,,,,,,,
Meditations,"Aurelius, Marcus",Philosophy,Sir Lawrence Alma-Tadema,After the Audience,"Cabal, Alex",2014-05-25,2014-05-25,"The personal diary of the Roman Emperor, in which he lays out his thoughts and philosophical musings on the Stoic philosophy and way of life."
"Connecticut Yankee in King Arthur’s Court, A","Twain, Mark",Fantasy,N. C. Wyeth,"Sir Mador’s Spear Brake All to Pieces, but the Other’s Spear Held","Cabal, Alex",2015-06-07,2015-06-07,An engineer from 19th-century Connecticut is sent back in time to King Arthur’s medieval England.
Personal Recollections of Joan of Arc,"Twain, Mark",Fiction,Jean-Jacques Scherrer,Entrée de Jeanne d’Arc à Orléans,"Rice, Vince",2021-07-10,2021-07-10,A fictional biography of Joan of Arc from her early teenage years to her martyrdom.
Roughing It,"Twain, Mark",Travel,Winslow Homer,Camp Fire,"Likar, Matic",2020-08-26,2020-08-26,Mark Twain’s semiautobiographical account of his travel across the United States.
Huck Finn,"Twain, Mark",Fiction,N. C. Wyeth,Back to the Farm,"Cabal, Alex",2015-05-12,2015-05-12,"The adventures of a young boy and his friend, an escaped slave, on the Mississippi river in the Antebellum South."
"Adventures of Tom Sawyer, The","Twain, Mark",Fiction,Eastman Johnson,Boy Fishing,Rice Vince,2019-10-20,2019-10-20,"A young boy growing up in Missouri gets into all sorts of trouble and, with his friend, stumbles on a treasure."
"Autobiography of Mark Twain, The","Twain, Mark",Nonfiction,A. H. Wyant,Tennessee,"Sweeney, Emma",2021-04-28,2021-04-28,A collection of reminiscences and reflections from the author’s experiences.
"Prince and the Pauper, The","Twain, Mark",Fiction,Samuel Scott,A View of London Bridge Before the Late Alterations,"Aires, Maxwell",2018-08-08,2018-08-08,The Prince of England and a pauper find their identities switched.
Pelle the Conqueror,"Nexø, Martin Andersen",Fiction,Paul Gauguin,Self-Portrait,"Whittleton, Robin",2021-07-07,2021-07-07,"As a poor boy grows up to be a man, he becomes determined to solve the plight of his fellow men."
Frankenstein,"Shelley, Mary",Science Fiction,Giuseppe Arcimboldo,Portrait of Adam,"Cabal, Alex",2015-05-12,2015-05-12,A tragic scientist creates a monster in his laboratory.
"Negro Explorer at the North Pole, A","Henson, Matthew",Travel,William Bradford,An Arctic Summer,"Rice, Vince",2021-03-22,2021-03-22,The self-told story of the black man who accompanied Robert Peary during the first trip to the North Pole.
813,"Leblanc, Maurice",Fiction,John Singer Sargent,Edward Robinson,"Whittleton, Robin",2018-07-18,2018-07-18,The gentleman-thief returns only to face his most dangerous opponent yet.
Arsène Lupin Versus Herlock Sholmes,"Leblanc, Maurice",Shorts,John Singer Sargent,François Flameng and Paul Helleu,"Whittleton, Robin",2018-04-08,2018-04-08,The infamous French thief must pit his wits against England’s finest detective in the second Arsène Lupin collection.
Memoirs of Arsène Lupin,"Leblanc, Maurice",Fiction,Charles Sprague Pearce,Paul Wayland Bartlett,"Whittleton, Robin",2021-01-25,2021-01-25,The gentleman-thief recounts the tale of his first major caper.
"Confessions of Arsène Lupin, The","Leblanc, Maurice",Shorts,Kenyon Cox,Maxfield Parrish,"Whittleton, Robin",2018-12-28,2018-12-28,The gentleman-thief relates stories of his outwitting the Parisian detectives.
"Crystal Stopper, The","Leblanc, Maurice",Fiction,Jean Frédéric Bazille,Self-Portrait,"Whittleton, Robin",2018-08-06,2018-08-06,The gentleman-thief scrambles to save the lives of two of his accomplices.
"Eight Strokes of the Clock, The","Leblanc, Maurice",Fiction,Gustave Caillebotte,Paris Street; Rainy Day,"Whittleton, Robin",2019-05-01,2019-05-01,A prince enlists a lady to help him solve eight mysteries.
"Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar, The","Leblanc, Maurice",Shorts,Édouard Manet,Chez Tortoni,"Whittleton, Robin",2018-03-27,2018-03-27,An infamous French thief plans intricate ways of stealing precious paintings and jewellery in this first collection of Arsène Lupin short stories.
"Golden Triangle, The","Leblanc, Maurice",Fiction,John La Farge,Portrait of the Painter,"Whittleton, Robin",2019-02-15,2019-02-15,A captain’s longing for the woman who nursed him back to health drags him into a conspiracy of stolen gold.
"Hollow Needle, The","Leblanc, Maurice",Fiction,Paul Cézanne,Portrait of Ambroise Vollard,"Whittleton, Robin",2018-04-26,2018-04-26,The famous gentleman-thief plans his most audacious crime yet: to steal the lost treasures of France.
"Secret of Sarek, The","Leblanc, Maurice",Fiction,Joaquín Sorolla,The Photographer Christopher Franzen,"Whittleton, Robin",2019-04-03,2019-04-03,"After seeing her name in an unrelated film, a woman traces the clues that lead her to a terrifying secret."
"Secret Tomb, The","Leblanc, Maurice",Fiction,Jean-Baptiste-Camille Corot,Fontainebleau: Oak Trees at Bas-Bréau,"Whittleton, Robin",2019-08-08,2019-08-08,A young travelling circus owner discovers a clue to ancestral treasure.
"Teeth of the Tiger, The","Leblanc, Maurice",Fiction,Johan Rohde,Portrait of the Swedish Painter Gustaf Wolmar,"Whittleton, Robin",2019-04-24,2019-04-24,A series of murders connected to an enormous legacy leads to a battle against an unseen adversary.
"Works of Max Beerbohm, The","Beerbohm, Max",Shorts,Auguste Renoir,Bal du moulin de la Galette,"Düker, Bendix",2017-11-27,2017-11-27,A collection of satirical essays ridiculing pretentiousness through imitation.
Zuleika Dobson,"Beerbohm, Max",Satire,John Singer Sargent,The Wyndham Sisters,"Cabal, Alex",2017-05-03,2017-05-03,A beautiful magician unsuspectingly casts her charms on quiet Oxford.
Don Quixote,"Cervantes Saavedra, Miguel",Fiction,Honoré Daumier,Don Quixote and the Dead Mule,"Cabal, Alex",2016-02-04,2016-02-04,A mad knight-errant and his down-to-earth squire encounter adventure in the Spanish countryside.
Sanine,"Artsybashev, Mikhail",Fiction,Anders Zorn,Midnight,"Whittleton, Robin",2021-02-17,2021-02-17,A group of young Russians veer between nihilism and hedonism as they try to discover their place in life.
My Brilliant Career,"Franklin, Miles",Fiction,Julian Ashton,An Afternoon Walk,"Grigg, David",2019-04-24,2019-04-24,A young woman struggles against the intellectual confines of her rural Australian life in the late 19th Century.
Tartuffe,Molière,Drama,Anonymous,The Gentleman in the Shop,"Keith, B. Timothy",2021-07-15,2021-07-15,"A father announces his daughter will marry Tartuffe, a sanctimonious fraud and hypocrite."
"Scarlet Letter, The","Hawthorne, Nathaniel",Fiction,Hugues Merle,The Scarlet Letter,"Cabal, Alex",2020-05-15,2020-05-15,A woman in the Puritan Massachusetts Bay Colony is forced to wear the shame of her sin embroidered on her clothes.
"Prince, The","Machiavelli, Niccolò",Philosophy,Santi di Tito,Niccolò Machiavelli,"Cabal, Alex",2014-05-25,2014-05-25,Machiavelli’s classic treatise on how to tyrannize one’s subjects.
Dead Souls,"Gogol, Nikolai",Fiction,Alphonse Mucha,The Abolition of Serfdom in Russia,"Whittleton, Robin",2017-06-03,2017-06-03,Pavel Chichikov travels through Russia buying the titles of dead serfs.
Short Fiction,"Gogol, Nikolai",Shorts,Ilya Repin,Reply of the Zaporozhian Cossacks,"Whittleton, Robin",2017-12-20,2017-12-20,A collection of Gogol’s translated short stories and novellas ordered by date of publication.
Short Fiction,"Henry, O.",Shorts,Christopher R. W. Nevinson,The Soul of the Soulless City,"Rice, Vince",2020-03-23,2020-03-23,"A collection of O. Henry short stories, ordered by date of publication."
"Book of Tea, The","Kakuzō, Okakura",Nonfiction,Claude Monet,Bridge Over a Pond of Water Lilies,"Natsakis, Tassos",2019-01-24,2019-01-24,"The Book of Tea is a long essay exploring the relationship between teaism, taoism, and the aesthetics of Japanese culture."
"Interesting Narrative of the Life of Olaudah Equiano, The","Equiano, Olaudah",Nonfiction,Frans van der Mijn,Portrait of Jan Pranger and an Enslaved Servant,"Keith, B. Timothy",2021-04-29,2021-04-29,An autobiography of an ex-slave in the mid 1700s.
"Rubaiyat of Omar Khayyam, The","Khayyám, Omar",Poetry,Edmund Dulac,Quatrain XI,"Cabal, Alex",2014-05-25,2014-05-25,"Three volumes of lyrical quatrains about the joys of living, the meaning of existence, and what it means to lead a happy life."
"Ideal Husband, An","Wilde, Oscar",Drama,Alfred Stevens,News from Afar,"Smith, Asher",2021-03-23,2021-03-23,"Over the course of twenty-four hours, a blackmail plot threatens to bring down a member of the British aristocracy."
Children’s Stories,"Wilde, Oscar",Shorts,Gustav Klimt,Pallas Athene,"Keith, B. Timothy",2020-12-23,2020-12-23,A collection of Oscar Wilde’s children’s stories.
Lord Arthur Savile’s Crime and Other Stories,"Wilde, Oscar",Shorts,Henry Treffry Dunn,Dante Gabriel Rossetti; Theodore Watts-Dunton,"Keith, B. Timothy",2020-11-20,2020-11-20,A collection of Oscar Wilde’s short mysteries.
"Importance of Being Earnest, The","Wilde, Oscar",Satire,Jacques-Émile Blanche,Aubrey Beardsley,"Cabal, Alex",2014-05-25,2014-05-25,A comedy skewering Victorian high society.
"Picture of Dorian Gray, The","Wilde, Oscar",Fiction,John Collier,The Garden,"Cabal, Alex",2014-05-25,2014-05-25,A Victorian dandy turns to a life of debauchery after a magical portrait stops him from aging.
Jeeves Stories,"Wodehouse, P. G.",Shorts,J. C. Leyendecker,The Arrow Collars Man,"Keith, B. Timothy",2019-09-19,2019-09-19,A collection of short stories featuring Jeeves and Wooster and the upperclass English life of the early 1900s.
Leave It to Psmith,"Wodehouse, P. G.",Comedy,Jacob van Ruisdael,Castle and Watermill by a River,"Mohan, Vraj",2021-01-03,2021-01-03,Psmith inveigles himself into Blandings Castle to help out a friend and to pursue love.
Love Among the Chickens,"Wodehouse, P. G.",Fiction,Lilly Martin Spencer,Young Husband: First Marketing,"Clapp, Matthew",2017-12-11,2017-12-11,Stanley Ukridge ensnares the narrator in another one of his schemes: running a chicken farm in the English countryside.
Piccadilly Jim,"Wodehouse, P. G.",Fiction,J. M. W. Turner,Crossing the Brook,"Wang, Hui-chang",2020-07-27,2020-07-27,"Jimmy Crocker gets embroiled in convoluted comedic escapades, involving impersonations, kidnapping and theft, on both sides of the Atlantic."
Psmith in the City,"Wodehouse, P. G.",Comedy,John Singer Sargent,Léon Delafosse,"Moore, Scott Chandler",2019-01-23,2019-01-23,"A young man abandons his dream of playing cricket at Cambridge because of financial trouble and goes to work for a London bank, where he’s joined by an unflappable friend."
"Psmith, Journalist","Wodehouse, P. G.",Comedy,John Hoppner,"Richard Humphreys, the Boxer","Reid, John",2021-01-25,2021-01-25,"Psmith, visiting New York with Mike on a cricket tour, finds entertainment and trouble for himself in the newspaper business, stirring up trouble with New York’s notorious gangs."
"Right Ho, Jeeves","Wodehouse, P. G.",Fiction,William Collins,"View of Sir David Wilkie’s House in Vicarage Place, Kensington","Cabal, Alex",2016-01-05,2016-01-05,Bertie Wooster and his valet Jeeves try their hand at matchmaking in upper-class England.
School Stories,"Wodehouse, P. G.",Shorts,John Fulleylove,Harrow School,"Keith, B. Timothy",2020-02-20,2020-02-20,A collection of Wodehouse’s school stories about the lives and adventures of schoolboys in the early 1900s.
Short Fiction,"Wodehouse, P. G.",Shorts,Henri Martin,A Couple Walking Along the Basin,"Keith, B. Timothy",2021-07-15,2021-07-15,A collection of P. G. Wodehouse’s short fiction.
Something New,"Wodehouse, P. G.",Fiction,Ernest William Haslehust,Eton College from Windsor,"Brooks, Chris",2017-09-28,2017-09-28,Two young writers experience romance and adventure in Lord Emsworth’s Blandings Castle.
Ukridge Stories,"Wodehouse, P. G.",Shorts,Michele Catti,Portrait of Paul Léautaud,"Keith, B. Timothy",2020-08-03,2020-08-03,A collection of stories featuring P. G. Wodehouse’s charismatic character Stanley Featherstonehaugh Ukridge.
Uneasy Money,"Wodehouse, P. G.",Fiction,Andrew W. Warren,"Long Island Homestead, Study from Nature","Smith, Asher",2021-02-12,2021-02-12,"When Lord Dawlish unexpectedly comes into an inheritance, he travels from London to New York to try to give it away."
Struggles and Triumphs,"Barnum, P. T.",Nonfiction,George Wesley Bellows,The Circus,"Grigg, David",2018-11-13,2018-11-13,The world’s greatest showman tells the story of his life.
"Art of Money Getting, The","Barnum, P. T.",Nonfiction,Mikalojus Konstantinas Čiurlionis,The City,"Cabal, Alex",2016-05-18,2016-05-18,A short guide on achieving financial success.
"Humbugs of the World, The","Barnum, P. T.",Nonfiction,Charles Caleb Ward,Coming Events Cast Their Shadows Before,"King, Paul",2021-06-04,2021-06-04,"American archetype and cultural founding father P. T. Barnum shares a collection of anecdotes that he deems “humbugs”—fodder for the gullible, deserving of skepticism—with the goal of making his fellow citizens a little wiser and more skeptical."
English as She Is Spoke,,Comedy,Joseph Ducreux,"Self-Portrait, the Silence","Cabal, Alex",2021-10-06,2021-10-06,A phrasebook of unintentionally hilarious English.
"Plastic Age, The","Marks, Percy",Fiction,Thomas Eakins,The Young Man,"King, Paul",2021-03-16,2021-03-16,"A student at an upscale liberal arts college navigates challenges, pitfalls, disillusionment, and the possibilities of his undergraduate experience in Jazz Age New England."
Mutual Aid,"Kropotkin, Peter",Philosophy,Elizabeth Nourse,Flock of Geese,"Cabal, Alex",2021-08-27,2021-08-27,"Kropotkin explores the role of cooperation in animal societes and human societies, past and present, and how it could benefit modern society."
"Conquest of Bread, The","Kropotkin, Peter",Philosophy,Luis Meléndez,Still Life with Figs and Bread,"Cheng, Weijia",2021-07-21,2021-07-21,Peter Kropotkin describes the organization of an anarchist society.
Armageddon 2419 A.D.,"Nowlan, Philip Francis",Science Fiction,Abraham Walkowitz,Times Square,"Cabal, Alex",2017-03-25,2017-03-25,Adventure hero Buck Rogers battles the forces of the evil Han Empire in 2419 America.
"Airlords of Han, The","Nowlan, Philip Francis",Science Fiction,Marcel Duchamp,King and Queen Surrounded by Swift Nudes,"Keith, B. Timothy",2018-11-29,2018-11-29,Science fiction hero Buck Rogers continues his crusade against the evil Han empire.
Short Fiction,"Dick, Philip K.",Shorts,Mikalojus Konstantinas Čiurlionis,Creation of the World⁠—III,"Cabal, Alex",2015-11-27,2015-11-27,A collection of short works by science fiction legend Philip K. Dick.
Gladiator,"Wylie, Philip",Science Fiction,Adolph Menzel,The Iron Rolling Mill (Modern Cyclopes),"Brown, Nicholas",2021-03-16,2021-03-16,"A young man, given superhuman abilities by his scientist father, tries to find purpose and use for his powers."
"Poems on Various Subjects, Religious and Moral","Wheatley, Phillis",Poetry,Winslow Homer,Sunday Morning in Virginia,"Likar, Matic",2020-09-01,2020-09-01,Phillis Wheatley’s only published collection of poetry.
Short Fiction,"Anderson, Poul",Shorts,Francis Picabia,Dances at the Spring,"Grosse, Josh",2019-12-23,2019-12-23,A collection of science fiction short stories by Poul Anderson ordered by date of publication.
Short Fiction,"Lafferty, R. A.",Shorts,Marc Chagall,Homage to Apollinaire,"Likar, Matic",2021-01-27,2021-01-27,A collection of science fiction and fantasy stories by R. A. Lafferty ordered by date of publication.
Gitanjali,"Tagore, Rabindranath",Spirituality,Abanindranath Tagore,Bharat Mata,"Coffey, Geoff",2017-06-25,2017-06-25,Prose poems of offering translated by the author from the original Bengali.
My Reminiscences,"Tagore, Rabindranath",Autobiography,Edwin Lord Weeks,The Last Voyage,"Cabal, Alex",2021-03-28,2021-03-28,"Autobiographical sketches from the Bengali writer, poet, and artist Rabindranath Tagore."
Captain Blood,"Sabatini, Rafael",Fiction,Howard Pyle,Captain Keitt,"Sutherland, Cory",2017-11-09,2017-11-09,"An English doctor is caught up in a rebellion and sentenced to transportation to the Caribbean, but later escapes slavery to become a pirate."
Scaramouche,"Sabatini, Rafael",Fiction,Ernest Meissonier,Soldier Playing the Theorbo,"Cabal, Alex",2017-06-14,2017-06-14,A country lawyer finds love and adventure as he seeks revenge during the French Revolution.
Short Fiction,"Bradbury, Ray",Shorts,Charles Piazzi Smyth,The Great Comet of 1843,"Likar, Matic",2021-08-18,2021-08-18,A collection of science fiction and fantasy stories by Ray Bradbury ordered by date of publication.
"School for Scandal, The","Sheridan, Richard Brinsley",Drama,Joshua Reynolds,The Ladies Waldegrave,"Keith, B. Timothy",2021-02-10,2021-02-10,"Despite their best efforts, the rumormongers of 18th-century London are disappointed by their targets."
"Beetle, The","Marsh, Richard",Horror,Jan Augustin van der Goes,Beetle,"Cabal, Alex",2020-05-13,2020-05-13,A group of middle-class Victorians find themselves pitted against an ancient Egyptian evil.
Just William,"Crompton, Richmal",Fiction,Frank Duveneck,Whistling Boy,"Grigg, David",2020-02-20,2020-02-20,An eleven-year old English boy gets involved in a continuous series of amusing adventures to the exasperation of his long-suffering family.
Short Fiction,"Howard, Robert E.",Shorts,Ralph Peacock,Victory,"Whittleton, Robin",2018-04-13,2018-04-13,"A collection of Robert E. Howard’s short stories, including the barbarian adventures of Conan the Cimmerian."
New Hampshire,"Frost, Robert",Poetry,John Frederick Kensett,"Twilight in the Cedars at Darien, Connecticut","Cabal, Alex",2020-04-24,2020-04-24,Robert Frost’s Pulitzer-winning book of poetry.
North of Boston,"Frost, Robert",Poetry,William Merritt Chase,The White Fence,"Cabal, Alex",2014-05-25,2014-05-25,A collection of Frost’s poetry.
Kidnapped,"Stevenson, Robert Louis",Fiction,N. C. Wyeth,The Siege of the Roundhouse,"Grigg, David",2018-04-24,2018-04-24,"After his parents die, a young Scottish man travels to see his only remaining relative, expecting to be welcomed, but instead finds his life and liberty in grave danger."
"Strange Case of Dr. Jekyll and Mr. Hyde, The","Stevenson, Robert Louis",Science Fiction,Hans von Marées,Double Portrait of Marées and Lenbach,"Cabal, Alex",2015-05-12,2015-05-12,A London lawyer investigates the relationship between a brilliant scientist and a misshapen misanthrope.
Treasure Island,"Stevenson, Robert Louis",Fiction,N. C. Wyeth,"One More Step, Mr. Hands","Cabal, Alex",2015-04-15,2015-04-15,A young boy finds adventure on the high seas as he battles bloodthirsty pirates in search of a long-lost treasure.
Short Fiction,"Sheckley, Robert",Shorts,Wassily Kandinsky,Circles in a Circle,"Likar, Matic",2021-10-08,2021-10-08,A collection of science fiction and fantasy stories by Robert Sheckley ordered by date of publication.
"King in Yellow, The","Chambers, Robert W.",Shorts,Mikalojus Konstantinas Čiurlionis,Andante,"Cabal, Alex",2017-01-19,2017-01-19,"Ten short stories of madness, hauntings, romance, and art."
Songs of a Sourdough,"Service, Robert W.",Poetry,Lawren Harris,Snow II,"Halliday, Dave",2019-07-02,2019-07-02,A collection of poems about the Klondike Gold Rush.
Robbery Under Arms,"Boldrewood, Rolf",Fiction,William Lister Lister,The Golden Splendour of the Bush,"Grigg, David",2021-03-23,2021-03-23,"A young Australian man and his brother are led into a life of crime, becoming cattle stealers, bank robbers and bushrangers before being caught."
Plays,Roswitha of Gandersheim,Drama,Frederic Edwin Church,The Monastery of San Pedro (Our Lady of the Snows),"Coulter, Cameron",2019-05-16,2019-05-16,"The collected plays of Roswitha of Gandersheim, the tenth century German canoness, dramatist, and poet."
"Surprising Adventures of Baron Munchausen, The","Raspe, Rudolph Erich",Satire,Gottfried Franz,Baron Münchhausen Underwater,"Cabal, Alex",2014-05-25,2014-05-25,The legendary Baron Munchausen’s tall tales of wonder and adventure.
Just So Stories,"Kipling, Rudyard",Shorts,Joseph Michael Gleeson,How the Camel Got His Hump,"Grigg, David",2018-03-28,2018-03-28,"A collection of short humorous fables for children, most purporting to tell the origin of animal characteristics such as the camel’s hump."
Kim,"Kipling, Rudyard",Fiction,William Simpson,The Chitpore Road,"Grigg, David",2017-10-19,2017-10-19,"An orphaned street-urchin follows a holy man across India during the time of the British Raj, eventually gaining an education and becoming a recruit to the Great Game of espionage against the Russians."
"Jungle Book, The","Kipling, Rudyard",Shorts,Cuthbert Edmund Swan,The Day of Reckoning,"Cabal, Alex",2016-05-23,2016-05-23,Seven fable-like tales about jungle animals in India and the humans who live on the edges of their realm.
Hindu Tales from the Sanskrit,"Mitra, S. M.",Shorts,Edwin Lord Weeks,Along the Ghats,"Whittleton, Robin",2021-03-18,2021-03-18,Short stories and fables from the Sanskrit tradition.
