Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Thief in the Night, A","Hornung, E. W.",Shorts,Glyn Philpot,The Man in Black,"Whittleton, Robin",2021-11-15,2021-11-15,The gentleman thief’s pal reminisces on past adventures in this third collection of A. J. Raffles stories.
"Amateur Cracksman, The","Hornung, E. W.",Shorts,Ambrose McEvoy,Portrait of a Young Man,"Whittleton, Robin",2021-10-26,2021-10-26,A British cricketer and his friend steal valuables in this first collection of A. J. Raffles short stories.
"Black Mask, The","Hornung, E. W.",Shorts,Charles Haslewood Shannon,The Man in a Black Shirt,"Whittleton, Robin",2021-11-03,2021-11-03,The thieving duo of Raffles and Manders return in this second collection of A. J. Raffles short stories.
Short Fiction,"Poe, Edgar Allan",Shorts,Robert Delaunay,Saint-Séverin,"Whittleton, Robin",2020-11-18,2020-11-18,"A collection of Edgar Allan Poe’s short fiction, ordered by date of publication."
"Narrative of Arthur Gordon Pym of Nantucket, The","Poe, Edgar Allan",Fiction,Willem van de Velde the Younger,De Windstoot,"Cabal, Alex",2014-05-25,2014-05-25,A young stowaway embarks on high-seas adventures.
"Princess of Mars, A","Burroughs, Edgar Rice",Fantasy,Frank E. Schoonover,"With My Back Against a Golden Throne, I Fought Once Again for Dejah Thoris","Cabal, Alex",2014-05-25,2014-05-25,An adventurer finds himself battling alien civilizations on the strange surface of Mars.
At the Earth’s Core,"Burroughs, Edgar Rice",Science Fiction,J. Allen St. John,At the Earth’s Core,"Grigg, David",2020-06-13,2020-06-13,"Two explorers burrow deep into the planet’s crust and emerge in a savage land inside a hollow Earth, where they have many adventures."
Pellucidar,"Burroughs, Edgar Rice",Science Fiction,J. Allen St. John,Pellucidar,"Grigg, David",2020-07-01,2020-07-01,An adventurer returns to the hollow interior of the Earth in search of his lost love.
"Chessmen of Mars, The","Burroughs, Edgar Rice",Fantasy,J. Allen St. John,The Chessmen of Mars,Anonymous,2021-03-23,2021-03-23,"Tara, Princess of Helium and daughter of John Carter, finds life-threatening adventure in thrilling far-off regions of Barsoom."
"Gods of Mars, The","Burroughs, Edgar Rice",Fantasy,Frank E. Schoonover,The Cold Hollow Eye of a Revolver Sought the Center of My Forehead,"Keith, B. Timothy",2020-05-24,2020-05-24,John Carter returns to Mars to try and determine the fate of his lost love Dejah Thoris.
"Land That Time Forgot, The","Burroughs, Edgar Rice",Science Fiction,Charles Thomas Burt,Lundy Island,"Duncan, Robert",2020-12-12,2020-12-12,Stranded U-boat survivors and their rescuers contend with dangerous beasts and prehistoric people in a strange lost world.
"Warlord of Mars, The","Burroughs, Edgar Rice",Fantasy,J. Allen St. John,Let a World’s Most Beautiful Woman Share the Honor of Her Husband,"Cabal, Alex",2020-05-21,2020-05-21,"John Carter, an Earth-man transported to Mars, must rescue his beloved princess from imprisonment in the Martian Temple of the Sun."
"Thuvia, Maid of Mars","Burroughs, Edgar Rice",Fantasy,P. J. Monahan,,"Reid, John",2021-01-20,2021-01-20,"When the beautiful Princess Thuvia of Ptarth is kidnapped, suspicion falls on John Carter’s son Carthoris, who sets out to rescue the woman he loves."
Ethan Frome,"Wharton, Edith",Fiction,Willard L. Metcalf,The White Veil,"Bell, Jason",2019-06-13,2019-06-13,A young man living a joyless life trapped in a loveless marriage gets a taste of true passion.
Summer,"Wharton, Edith",Fiction,Peter Ilsted,Interiør med et rødt sjal,"Peterson, Zoey Leigh",2021-01-02,2021-01-02,A young woman has resigned to life in a stifling small town until a visiting stranger hints at a wider world of possibilities.
"Age of Innocence, The","Wharton, Edith",Fiction,Mary Cassatt,In the Loge,"McFarland, Duncan",2020-04-01,2020-04-01,"Upper-class New York gentleman Newland Archer is set to wed May Welland in a picture-perfect union, until the bride’s disgraced cousin returns from overseas and threatens to draw his love away."
"House of Mirth, The","Wharton, Edith",Fiction,Joshua Reynolds,Mrs. Lloyd,"Hall, Evan",2018-07-26,2018-07-26,A New York socialite struggles to maintain a place among her wealthy friends in the face of her own diminished finances and fading youth.
Nonsense Books,"Lear, Edward",Shorts,H. Lyman Saÿen,Trees,"Sweeney, Emma",2020-06-11,2020-06-11,"A collection of literary nonsense in the forms of limericks, songs, and short stories."
Flatland,"Abbott, Edwin A.",Fiction,Edward Wadsworth,Rotterdam,"Whittleton, Robin",2018-01-04,2018-01-04,"A square is pulled out of his reality by a sphere, and shown the meaning of three dimensions."
Pollyanna,"Porter, Eleanor H.",Childrens,Pierre-Auguste Renoir,Young Girl with a Parasol (Aline Nunès),"King, Paul",2020-09-06,2020-09-06,An orphan’s unrelenting optimism sees her through adversity and lifts up her new community.
Pollyanna Grows Up,"Porter, Eleanor H.",Childrens,Pierre-Auguste Renoir,Nini in the Garden (Nini Lopez),"King, Paul",2021-02-12,2021-02-12,"Pollyanna recovers from an automobile accident with the help of a nearby dowager, before leaving the country to later return to rural Vermont."
Sonnets from the Portuguese,"Browning, Elizabeth Barrett",Poetry,Paolo Veronese,Venus and Mars United by Love,"De Micheli, Gustavo",2017-12-02,2017-12-02,A collection of 44 love sonnets.
Cranford,"Gaskell, Elizabeth",Fiction,Helen Allingham,"Hollingbourne, Kent","Cabal, Alex",2016-08-24,2016-08-24,A series of sketches about small town life in a changing mid-Victorian England.
Wired Love,"Thayer, Ella Cheever",Fiction,Pierre-Auguste Renoir,Dance in the Country,"Sweeney, Emma",2019-12-11,2019-12-11,A romance begins over the wire between two telegraph operators.
File No. 113,"Gaboriau, Émile",Mystery,Camille Pissarro,"The Place du Havre, Paris","Rice, Vince",2019-07-17,2019-07-17,A bank is robbed and only two men appear to have the means to have done it; Monsieur Lecoq must discern if it was one of them or an “impossible” third party.
Monsieur Lecoq,"Gaboriau, Émile",Mystery,Camille Pissarro,"Côte des Grouttes, Near Pointoise","Rice, Vince",2019-07-23,2019-07-23,Monsieur Lecoq’s first case in which he tries to determine the identity of a man in custody for three murders.
"Lerouge Case, The","Gaboriau, Émile",Mystery,Edgar Degas,"Stefanina Primicile Carafa, Marchioness of Cicerale and Duchess of Montejasi","Rice, Vince",2019-07-08,2019-07-08,"A widow is found dead under mysterious circumstances, and Monsieur Lecoq of the police arranges to have his mentor brought in to help solve the crime."
"Mystery of Orcival, The","Gaboriau, Émile",Mystery,Eugène Boudin,Village by a River,"Rice, Vince",2019-07-12,2019-07-12,"A countess is murdered and suspects are quickly detained, but Lecoq is not satisfied and looks in a different direction to solve the case."
"Slaves of Paris, The","Gaboriau, Émile",Mystery,Camille Pissarro,The Boulevard Montmartre on a Winter Morning,"Rice, Vince",2019-08-07,2019-08-07,A group of blackmailers play a long game on several families.
Germinal,"Zola, Émile",Fiction,Constantin Meunier,Return of the Miners,"Cabal, Alex",2021-06-08,2021-06-08,"A new resident of a poor coal mining town in 1860s France begins learning about socialist principles, and convinces the town to go on strike."
His Masterpiece,"Zola, Émile",Fiction,Édouard Manet,Le Déjeuner sur l’herbe,"Cabal, Alex",2016-09-28,2016-09-28,A groundbreaking painter struggles to leave his mark on the bohemian art world of 19th-century Paris.
Wuthering Heights,"Brontë, Emily",Fiction,George Frederic Watts,Edith Villiers,"Siddiqui, Sami",2018-07-18,2018-07-18,An adopted child ends up tearing apart families in a quest for power and revenge.
Discourses,Epictetus,Philosophy,William Blake Richmond,An Audience in Athens During Agamemnon by Aeschylus,"Gross, David M.",2020-04-07,2020-04-07,Epictetus instructs his students how to live the life of a Stoic.
"Enchiridion, The",Epictetus,Philosophy,Sir Lawrence Alma-Tadema,A Reading from Homer,"Cabal, Alex",2014-05-25,2014-05-25,A brief handbook of advice for day-to-day living in the Stoic philosophical tradition.
Kai Lung’s Golden Hours,"Bramah, Ernest",Fantasy,François Boucher,Chinese Fishing,"Knight, Thomas",2019-07-02,2019-07-02,An ancient Chinese storyteller charged with treason uses his beguiling tales to avoid conviction.
"Captain Jinks, Hero","Crosby, Ernest Howard",Satire,John Singer Sargent,Leonard Wood,"Cheng, Weijia",2021-11-03,2021-11-03,A jingoistic military officer embarks on a tragicomic quest to become a “perfect soldier.”
His Family,"Poole, Ernest",Fiction,George Bellows,Cliff Dwellers,"Kenyon, Bob",2021-11-15,2021-11-15,A man sees his life differently through the eyes of his daughters in turn-of-the-century New York City.
South!,"Shackleton, Ernest",Travel,William Bradford,Boring Through the Pack in Melville Bay,"Grigg, David",2019-01-16,2019-01-16,"A British expedition sets off to cross Antarctica, but when their ship is wrecked they have to face a long struggle for survival."
"Riddle of the Sands, The","Childers, Erskine",Fiction,Claude Monet,Regatta at Sainte-Adresse,"Cabal, Alex",2017-07-10,2017-07-10,Two English friends go on a sailing trip that quickly turns thrilling as they stumble upon a sinister German plot.
